algorithm,configuration,seed,lstm_units,mae,rmse,r2,epochs,final_train_loss,final_val_loss
LSTM,NO_TEMPORAL,47,16,0.3790970770649427,0.5942767336057047,0.6025650007670013,50,0.32520416378974915,0.2981460690498352
LSTM,NO_TEMPORAL,48,16,0.39918833073559334,0.603547989778048,0.5900675766535459,50,0.32511043548583984,0.32829976081848145
LSTM,NO_TEMPORAL,49,16,0.3702664690580173,0.5887522853765913,0.6099198362084544,50,0.32242172956466675,0.30237260460853577
LSTM,NO_TEMPORAL,50,16,0.43071225203223784,0.6114888738921805,0.5792096484160127,50,0.32638201117515564,0.3238566219806671
LSTM,NO_TEMPORAL,51,16,0.4037391218162212,0.5976423247857232,0.5980506346324209,50,0.32408130168914795,0.3077761232852936
LSTM,NO_STATIC_MECH,42,16,0.394726378848129,0.5976001205943058,0.5981074021948045,50,0.32321465015411377,0.31029024720191956
LSTM,NO_STATIC_MECH,43,16,0.3986974379483986,0.5919779751549035,0.6056337396951139,50,0.32251840829849243,0.30334222316741943
LSTM,NO_STATIC_MECH,44,16,0.37474012359997694,0.5860000252823419,0.6135583534359239,50,0.3260972797870636,0.2922571301460266
LSTM,NO_STATIC_MECH,45,16,0.43259363363045467,0.6145034672247595,0.5750504930312093,50,0.3250637352466583,0.32918480038642883
LSTM,NO_STATIC_MECH,46,16,0.4025691711766836,0.6055628557305802,0.5873259966153284,50,0.32580092549324036,0.3157902956008911
LSTM,NO_STATIC_MECH,47,16,0.3855371127580216,0.5917716140496332,0.6059086407086015,50,0.3211756646633148,0.3033352494239807
LSTM,NO_STATIC_MECH,48,16,0.3766933990949624,0.5829392104836209,0.6175847601625709,50,0.33214259147644043,0.29501864314079285
LSTM,NO_STATIC_MECH,49,16,0.37585731186199384,0.5869219344151807,0.6123414786596607,50,0.3215889632701874,0.29452574253082275
LSTM,NO_STATIC_MECH,50,16,0.3802849498883594,0.5871191526611312,0.6120809118820523,50,0.32212966680526733,0.29555073380470276
LSTM,NO_STATIC_MECH,51,16,0.37177911733275254,0.5841593567956507,0.6159822230281875,50,0.32062432169914246,0.2986723482608795
LSTM,PURE_ML,42,16,0.3598604152235715,0.5873790177463218,0.611737441785878,50,0.32613638043403625,0.30010417103767395
LSTM,PURE_ML,43,16,0.39566490685145556,0.5958273300598768,0.6004883073844374,50,0.33298662304878235,0.30251258611679077
LSTM,PURE_ML,44,16,0.3496132721337723,0.5838340091493208,0.6164098614318446,50,0.3308221399784088,0.29212623834609985
LSTM,PURE_ML,45,16,0.3702374914727023,0.6009048226684875,0.5936502157912975,50,0.3261986970901489,0.3218398988246918
LSTM,PURE_ML,46,16,0.3701184700833298,0.5891316442840208,0.6094169827553226,50,0.32960888743400574,0.29536816477775574
