algorithm,configuration,seed,mae,rmse,r2,epochs,final_train_loss,final_val_loss
LSTM,PURE_ML,49,0.43397736034149276,0.626985646249864,0.5576114769908753,50,0.33313602209091187,0.33525213599205017
LSTM,PURE_ML,50,0.4197156617897761,0.6105151722473118,0.5805486688418726,50,0.3314495384693146,0.32126763463020325
LSTM,PURE_ML,51,0.4166526966486321,0.6109399751621706,0.5799647484171964,50,0.3343941271305084,0.32153061032295227
XGBoost,ONLY_MECH,42,0.5673870026349166,0.833118952747458,0.2189071124977564,0,0,0
LSTM,ONLY_MECH,42,0.40443094114484235,0.6066003566285398,0.5859107300879876,50,0.32714784145355225,0.3162860572338104
LSTM,ONLY_MECH,43,0.40776956098130646,0.5987076054687352,0.5966164306142346,50,0.32461652159690857,0.31174230575561523
LSTM,ONLY_MECH,44,0.36332390793475816,0.5894806064282444,0.6089541352555272,50,0.3274585008621216,0.29056844115257263
LSTM,ONLY_MECH,45,0.35089758361700935,0.5834108501754374,0.6169657070413961,50,0.32858386635780334,0.2926177978515625
LSTM,ONLY_MECH,46,0.3756458066074873,0.5917369836773458,0.6059547636750904,50,0.32982000708580017,0.2942121922969818
LSTM,ONLY_MECH,47,0.3521190259549264,0.5838698413053992,0.6163627751597618,50,0.328550785779953,0.30221641063690186
LSTM,ONLY_MECH,48,0.3915653181515017,0.5951529741049955,0.6013921283903867,50,0.3268771469593048,0.30380919575691223
LSTM,ONLY_MECH,49,0.3681298940560062,0.5894560659724034,0.6089866935582698,50,0.32913196086883545,0.29145485162734985
LSTM,ONLY_MECH,50,0.38992915958524177,0.5933209129109326,0.6038424228276194,50,0.3273642361164093,0.2979496121406555
LSTM,ONLY_MECH,51,0.36849622463060255,0.5904337858001673,0.6076884847760295,50,0.32784026861190796,0.2950698137283325
